prop,zone,pepland,pepfish,pepcpue,lobland,lobfish,lobcpue,KrigedTourism,cold ,temperate,hot,upwell,chloro,endemic,all_species,lobhabitat,PepinoPredictedHabitat,LobsterPredictedHabitat
1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1
1,2,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1
1,3,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1
2,4,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,-1,-1,-1
2,5,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1
2,6,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1
2,7,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1
2,8,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1
3,9,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,10,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,0,0
3,11,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,12,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1
